;YEAR;MONTH;U.S._STATE;CLIMATE.REGION;ANOMALY.LEVEL;CLIMATE.CATEGORY;CAUSE.CATEGORY;CAUSE.CATEGORY.DETAIL;OUTAGE.DURATION;DEMAND.LOSS.MW;CUSTOMERS.AFFECTED;OUTAGE.SEVERITY
1;2014;5;Minnesota;East North Central;-0.1;normal;intentional attack;vandalism;1.0;1687.5;1687.5;Minor
2;2010;10;Minnesota;East North Central;-1.5;cold;severe weather;heavy wind;3000.0;1687.5;70000.0;Minor
3;2012;6;Minnesota;East North Central;-0.1;normal;severe weather;thunderstorm;2550.0;1687.5;68200.0;Minor
5;2010;11;Minnesota;East North Central;-1.4;cold;severe weather;winter storm;1860.0;1687.5;60000.0;Minor
6;2010;7;Minnesota;East North Central;-0.9;cold;severe weather;tornadoes;2970.0;1687.5;63000.0;Minor
7;2005;6;Minnesota;East North Central;0.2;normal;severe weather;thunderstorm;3960.0;75.0;300000.0;Minor
8;2015;3;Minnesota;East North Central;0.6;warm;intentional attack;sabotage;155.0;20.0;5941.0;Minor
9;2013;6;Minnesota;East North Central;-0.2;normal;severe weather;hailstorm;3621.0;1687.5;400000.0;Minor
10;2013;6;Minnesota;East North Central;-0.2;normal;severe weather;hailstorm;7740.0;1687.5;193000.0;Minor
11;2005;9;Minnesota;East North Central;0.0;normal;severe weather;tornadoes;8880.0;1687.5;200000.0;Major
12;2011;7;Minnesota;East North Central;-0.3;normal;intentional attack;vandalism;0.0;0.0;0.0;Minor
13;2011;5;Minnesota;East North Central;-0.4;normal;intentional attack;vandalism;1322.0;0.0;0.0;Minor
14;2014;6;Minnesota;East North Central;0.0;normal;severe weather;thunderstorm;60.0;1687.5;55951.0;Major
15;2015;6;Tennessee;Central;1.0;warm;system operability disruption;uncontrolled loss;19.0;926.0;1687.5;Minor
16;2012;8;Tennessee;Central;0.3;normal;intentional attack;vandalism;0.0;1687.5;1687.5;Major
